,DNE,CDE,HTE,B1E,FRE,BME,EQE,OFE,WOE,DWE,TVE,FGE,B2E,CWE,HPE,GRE,all_P
27,0,4520,5,0,104,6,39,15,0,0,39,0,59,0,35,0,4812.0
28,0,4500,5,0,104,6,39,15,0,0,39,0,67,0,35,2,4810.0
29,0,4509,5,0,105,6,38,15,0,0,38,0,58,0,36,0,4817.0
30,0,4510,5,0,106,6,38,19,0,0,39,0,58,0,36,0,4801.0
31,0,4497,5,0,103,6,39,17,1,0,39,0,58,0,36,0,4871.0
32,0,4521,5,0,104,7,40,63,0,0,38,0,56,0,35,2,4837.0
33,0,4530,5,0,103,6,39,19,1,0,38,0,56,0,36,4,4819.0
34,0,4514,5,0,105,6,41,15,0,0,39,0,56,0,36,2,4837.0
35,0,4534,5,0,105,6,39,15,0,0,38,0,56,0,37,2,5415.0
36,0,4535,5,0,104,6,38,15,0,0,38,581,58,0,35,0,4942.0
37,0,4495,5,0,103,6,42,19,0,0,38,141,56,0,37,0,4965.0
38,0,4525,5,0,104,6,39,19,0,0,38,128,62,0,37,2,4911.0
39,0,4478,5,0,106,7,39,14,0,0,38,126,62,0,36,0,4960.0
40,0,4540,5,0,106,6,30,15,1,0,38,125,56,0,36,2,4963.0
41,0,4529,5,0,104,7,39,19,0,0,38,125,60,0,37,0,4901.0
42,0,4476,5,0,103,7,39,16,0,0,38,125,56,0,36,0,4918.0
43,0,4455,44,0,103,6,39,15,0,0,38,123,56,0,35,4,4919.0
44,0,4478,21,0,104,6,40,14,0,0,38,123,58,0,37,0,4907.0
45,0,4500,5,0,104,6,39,15,0,0,38,101,60,0,37,2,4808.0
46,0,4490,21,0,103,7,39,18,0,0,38,0,56,0,36,0,4820.0
47,0,4478,41,0,105,7,40,18,0,0,38,1,56,0,36,0,605.0
48,0,274,28,0,104,7,39,15,0,0,39,0,58,0,37,4,569.0
49,0,253,18,0,106,7,39,14,0,0,37,0,56,0,37,2,581.0
50,0,259,21,0,104,7,41,14,0,0,38,0,58,0,37,2,5255.0
51,0,4529,4,0,104,429,39,17,0,0,38,0,58,0,35,2,5159.0
52,0,4449,4,0,106,410,39,15,0,0,38,0,61,0,35,2,982.0
53,0,255,4,0,104,430,42,15,0,0,38,0,56,0,36,2,985.0
54,0,252,4,0,106,434,40,15,0,0,39,0,57,0,36,2,984.0
55,0,252,4,0,105,424,39,18,0,0,38,0,66,0,36,2,993.0
56,0,263,4,0,105,419,45,19,0,0,39,0,62,0,35,2,984.0
57,0,261,4,0,103,430,39,15,0,0,38,0,56,0,36,2,1001.0
58,0,269,4,0,105,434,39,15,0,0,38,0,59,0,36,2,994.0
59,0,274,4,0,104,437,30,15,0,0,38,0,56,0,36,0,995.0
60,0,273,4,0,107,424,39,15,0,0,38,0,58,0,37,0,905.0
61,0,271,4,0,106,333,39,18,0,0,38,0,57,0,37,2,900.0
62,0,275,4,0,106,328,40,15,0,0,38,0,55,0,35,4,621.0
63,0,1,4,0,106,325,40,14,0,0,38,0,55,0,36,2,623.0
64,0,0,4,0,105,326,39,19,0,0,38,0,56,0,36,0,626.0
65,0,0,4,0,105,329,40,18,0,0,39,0,55,0,36,0,624.0
66,0,0,4,0,106,328,40,15,0,0,38,0,55,0,36,2,641.0
67,0,0,30,0,105,324,39,15,0,0,38,0,55,0,35,0,646.0
68,0,0,20,0,105,329,40,15,0,0,38,6,55,0,36,2,647.0
69,0,0,31,0,105,325,41,15,0,0,39,0,55,0,36,0,637.0
70,0,0,20,0,104,325,39,19,0,0,38,0,55,0,35,2,628.0
71,0,0,4,0,106,329,40,18,0,0,39,0,55,0,37,0,584.0
72,0,0,4,0,106,326,43,14,0,0,38,0,17,0,36,0,581.0
73,0,0,4,0,105,325,39,15,0,0,38,0,17,0,36,2,728.0
74,0,0,4,0,106,325,39,19,0,0,38,145,17,0,35,0,731.0
75,0,0,27,0,106,326,30,18,0,0,38,131,17,0,36,2,727.0
76,0,1,21,0,105,327,40,14,0,0,38,128,17,0,36,0,711.0
77,0,1,4,0,106,326,39,15,0,0,38,126,18,0,36,2,710.0
78,0,0,4,0,106,325,39,18,0,0,39,125,17,0,37,0,729.0
79,0,0,21,0,104,329,40,15,0,0,38,126,17,0,37,2,726.0
80,0,0,21,0,106,325,39,18,0,0,38,125,17,0,35,2,722.0
81,0,1,4,0,106,328,40,20,0,0,38,123,25,0,37,0,796.0
82,0,0,4,0,105,324,40,20,0,0,38,201,24,0,36,4,743.0
83,0,0,33,0,106,323,39,21,0,0,38,124,22,0,37,0,614.0
84,0,0,21,0,105,328,39,24,0,0,38,6,17,0,36,0,1592.0
85,0,0,21,0,113,323,40,24,0,0,38,6,17,0,1008,2,2124.0
86,0,1,4,0,113,326,39,20,0,0,38,6,17,0,1560,0,2239.0
87,0,0,4,0,113,325,39,15,0,0,39,7,17,0,1678,2,2277.0
88,0,1,4,0,114,325,42,15,0,0,38,7,17,0,1714,0,2311.0
89,0,0,4,0,114,326,39,15,0,0,38,6,17,0,1750,2,2372.0
90,0,1,4,0,113,323,39,18,0,0,39,6,61,0,1768,0,2380.0
91,0,0,4,0,113,322,45,18,0,0,38,6,57,0,1777,0,2380.0
92,0,0,4,0,113,323,39,16,0,0,38,6,57,0,1784,0,743.0
93,0,0,4,0,106,325,39,15,0,0,39,156,58,0,1,0,725.0
94,0,1,4,0,106,328,30,15,0,0,39,140,61,0,1,0,719.0
95,0,0,4,0,105,321,39,18,0,0,38,134,57,0,1,2,723.0
96,0,0,4,0,106,324,39,18,1,0,38,134,56,0,1,2,719.0
97,0,0,5,0,106,325,39,15,0,0,38,134,56,0,1,0,718.0
98,0,1,4,0,105,324,40,15,0,0,38,134,56,0,1,0,723.0
99,0,0,4,0,106,326,39,15,0,0,38,133,57,0,1,4,719.0
100,0,1,4,0,104,326,39,15,0,0,39,131,59,0,1,0,421.0
101,0,0,21,0,106,7,41,19,0,0,38,132,57,0,0,0,420.0
102,0,0,21,0,106,6,40,19,0,0,38,131,58,0,1,0,401.0
103,0,0,5,0,106,7,39,15,0,0,38,130,58,0,1,2,419.0
104,0,1,21,0,106,7,41,15,0,0,38,130,57,0,1,2,448.0
105,0,1,5,0,106,7,39,19,0,0,38,131,59,0,39,4,456.0
106,0,1,21,0,105,6,40,19,0,0,38,130,58,0,38,0,391.0
107,0,0,5,0,107,7,43,15,0,0,38,130,7,0,37,2,385.0
108,0,1,5,0,104,7,40,15,0,0,38,129,7,0,37,2,384.0
109,0,0,5,0,106,7,40,15,0,0,38,129,7,0,37,0,252.0
110,0,0,5,0,104,7,30,15,0,0,39,7,7,0,36,2,270.0
111,0,0,5,0,106,7,40,19,0,0,38,7,7,0,37,4,268.0
112,0,0,5,0,106,7,40,19,0,0,38,7,7,0,37,2,262.0
113,0,0,5,0,105,7,40,15,0,0,39,7,7,0,37,0,263.0
114,0,1,5,0,104,6,40,15,0,0,38,7,7,0,36,4,263.0
115,0,0,5,0,105,7,40,15,0,0,39,7,7,0,36,2,270.0
116,0,0,5,0,106,7,40,19,0,0,39,7,7,0,38,2,269.0
117,0,0,5,0,107,7,41,19,0,0,38,7,7,0,36,2,266.0
118,0,0,5,0,106,7,40,15,0,0,39,7,7,0,36,4,407.0
119,0,0,5,0,106,7,40,15,0,0,38,148,7,0,37,4,392.0
120,0,0,5,0,106,7,41,15,0,0,38,135,7,0,36,2,392.0
121,0,1,5,0,106,7,40,15,0,0,38,132,7,0,37,4,384.0
122,0,0,5,0,105,7,40,15,0,0,38,129,7,0,36,2,387.0
123,0,0,5,0,106,7,42,15,0,0,39,128,7,0,36,2,385.0
124,0,0,5,0,106,7,40,15,0,0,39,126,7,0,36,4,381.0
125,0,0,5,0,106,6,40,15,0,0,39,125,7,0,36,2,388.0
126,0,0,5,0,106,7,47,15,0,0,39,124,7,0,36,2,380.0
127,0,0,5,0,106,7,40,15,0,0,39,124,7,0,35,2,397.0
128,0,0,21,0,106,7,40,15,0,0,38,122,7,0,37,4,255.0
129,0,0,5,0,106,7,40,15,0,0,39,0,7,0,36,0,273.0
130,0,0,20,0,106,6,40,15,0,0,38,0,7,0,37,4,277.0
131,0,1,21,0,106,6,40,19,0,0,39,0,7,0,36,2,258.0
132,0,1,5,0,106,6,39,19,0,0,38,0,7,0,37,0,256.0
133,0,1,5,0,104,7,40,17,0,0,38,0,7,0,35,2,257.0
134,0,0,5,0,105,7,40,15,0,0,39,0,7,0,37,2,258.0
135,0,1,5,0,106,7,40,15,0,0,39,0,7,0,36,2,259.0
136,0,0,5,0,106,7,41,15,0,0,38,0,7,0,36,4,1608.0
137,0,0,5,0,115,7,40,19,0,0,39,0,7,0,1376,0,1823.0
138,0,0,5,0,114,6,40,19,0,0,38,0,7,0,1594,0,1931.0
139,0,2,5,0,114,7,42,16,0,0,39,0,7,0,1697,2,1958.0
140,0,1,5,0,113,7,40,15,0,0,39,0,7,0,1729,2,1972.0
141,0,0,5,0,114,7,40,15,0,0,38,0,7,0,1746,0,1991.0
142,0,0,5,0,114,6,44,15,0,0,38,0,7,0,1762,0,2004.0
143,0,2,5,0,114,7,40,14,0,0,38,0,7,0,1777,0,1978.0
144,0,0,5,0,114,6,40,14,0,0,38,0,7,0,1754,0,1971.0
145,0,0,5,0,112,7,30,15,0,0,38,0,7,0,1757,0,1991.0
146,0,0,5,0,113,7,40,18,0,0,38,0,7,0,1763,0,1989.0
147,0,0,5,0,114,7,40,15,0,0,38,0,7,0,1761,2,2000.0
148,0,0,5,0,115,7,40,15,0,0,38,0,7,0,1773,0,2000.0
149,0,1,5,0,113,6,40,15,0,0,38,0,7,0,1775,0,2004.0
150,0,0,5,0,114,6,40,15,0,0,38,0,7,0,1777,2,2008.0
151,0,0,5,0,113,7,40,15,0,0,38,0,7,0,1779,4,2014.0
152,0,1,5,0,114,7,41,17,0,0,39,0,7,0,1783,0,2015.0
153,0,1,5,0,114,6,40,18,0,0,39,0,7,0,1785,0,2013.0
154,0,0,5,0,114,7,40,19,0,0,38,0,7,0,1781,2,2022.0
155,0,1,5,0,113,6,42,18,0,0,38,0,7,0,1790,2,2011.0
156,0,1,5,0,113,6,40,15,0,0,38,0,7,0,1786,0,2011.0
157,0,1,5,0,113,7,40,15,0,0,38,0,7,0,1783,2,2016.0
158,0,0,5,0,112,6,43,15,0,0,38,0,7,0,1790,0,2170.0
159,0,1,5,0,113,7,40,19,0,0,38,148,7,0,1790,2,358.0
160,0,0,5,0,106,7,40,19,0,0,39,134,7,0,1,0,342.0
161,0,0,5,0,107,7,30,18,0,0,38,127,7,0,1,2,367.0
162,0,1,21,0,106,7,40,17,0,0,38,127,7,0,1,2,348.0
163,0,0,5,0,107,6,40,15,0,0,38,126,7,0,0,4,346.0
164,0,0,5,0,106,6,40,15,0,0,38,125,7,0,0,4,345.0
165,0,1,5,0,105,6,40,15,0,0,39,124,7,0,1,2,342.0
166,0,0,5,0,106,7,40,15,0,0,38,123,7,0,1,0,341.0
167,0,0,5,0,106,7,40,15,0,0,38,122,7,0,1,0,342.0
168,0,1,5,0,105,7,40,15,0,0,38,121,7,0,1,2,221.0
169,0,0,5,0,105,6,40,16,0,0,39,0,7,0,1,2,220.0
170,0,0,5,0,105,6,40,15,0,0,39,0,7,0,1,2,221.0
171,0,0,5,0,105,6,41,15,0,0,39,0,7,0,1,2,218.0
172,0,0,5,0,105,7,40,15,0,0,38,0,7,0,1,0,218.0
173,0,0,5,0,106,6,40,15,0,0,38,0,7,0,1,0,268.0
174,0,0,5,0,106,6,42,15,0,0,38,0,56,0,0,0,345.0
175,0,1,45,0,105,7,40,15,0,0,38,0,56,0,38,0,357.0
176,0,0,52,0,106,7,40,18,0,0,38,0,56,0,36,4,357.0
177,0,1,48,0,105,7,45,19,0,0,39,0,56,0,37,0,332.0
178,0,0,30,0,105,7,40,17,0,0,38,1,56,0,36,2,338.0
179,0,0,29,0,106,6,40,15,0,0,38,10,56,0,36,2,309.0
180,0,0,22,0,103,6,30,15,0,0,39,0,56,0,36,2,348.0
181,0,0,5,0,106,6,40,61,0,0,38,0,56,0,36,0,365.0
182,0,0,21,0,104,7,40,61,0,0,38,0,56,0,36,2,393.0
183,0,0,52,0,104,7,40,61,0,0,38,0,56,0,35,0,388.0
184,0,1,44,0,105,6,40,60,0,0,39,0,55,0,36,2,328.0
185,0,1,22,0,106,7,39,19,0,0,38,0,56,0,36,4,315.0
186,0,1,5,0,105,7,40,15,0,0,38,10,56,0,36,2,312.0
187,0,0,5,0,104,7,41,15,0,0,38,7,56,0,35,4,312.0
188,0,0,5,0,105,7,40,18,0,0,38,7,56,0,36,0,311.0
189,0,0,5,0,103,7,40,19,0,0,38,7,56,0,36,0,462.0
190,0,1,5,0,105,7,41,15,0,0,38,156,56,0,36,2,440.0
191,0,0,5,0,105,7,39,15,0,0,38,139,56,0,36,0,513.0
192,0,0,5,0,104,7,39,19,0,0,38,137,127,0,35,2,558.0
193,0,0,47,0,104,7,43,17,0,0,39,135,130,0,36,0,530.0
194,0,0,47,0,105,7,39,15,0,0,39,133,108,0,37,0,527.0
195,0,0,48,0,105,6,39,15,0,0,38,133,107,0,36,0,492.0
196,0,0,21,0,106,7,30,15,0,0,38,132,106,0,37,0,485.0
197,0,1,5,0,105,7,40,15,0,0,38,132,106,0,36,0,501.0
198,0,0,21,0,105,6,40,16,0,0,38,132,106,0,35,2,568.0
199,0,0,4,0,104,89,39,18,0,0,38,132,106,0,36,2,492.0
200,0,0,5,0,106,6,40,19,0,0,38,133,109,0,36,0,533.0
201,0,0,30,21,106,6,40,15,0,0,38,132,106,0,37,2,521.0
202,0,0,21,21,107,7,39,15,0,0,38,131,106,0,36,0,553.0
203,0,0,50,21,107,7,40,15,0,0,38,132,106,0,37,0,521.0
204,0,1,21,21,106,6,40,15,0,0,38,130,106,0,37,0,469.0
205,0,0,5,21,106,7,40,18,0,0,37,129,68,0,36,2,790.0
206,0,1,4,20,107,328,41,19,0,0,38,128,66,0,36,2,825.0
207,0,0,4,20,106,327,40,15,0,0,38,128,107,0,36,4,828.0
208,0,0,4,20,107,327,40,15,0,0,39,128,108,0,36,4,703.0
209,0,0,4,20,106,328,42,15,0,0,39,6,106,0,37,0,707.0
210,0,1,4,21,106,329,40,15,0,0,39,6,108,0,36,2,711.0
211,0,0,4,21,106,329,40,19,0,0,39,7,108,0,36,2,712.0
212,0,0,4,20,106,330,45,18,0,0,38,6,106,0,37,2,700.0
213,0,1,4,21,105,329,40,15,0,0,38,6,105,0,36,0,708.0
214,0,0,4,20,106,330,40,15,0,0,39,6,108,0,36,4,695.0
215,0,0,4,20,106,330,30,15,0,0,38,7,108,0,37,0,707.0
216,0,0,4,20,105,331,40,14,0,0,39,7,108,0,37,2,704.0
217,0,0,4,21,106,330,40,15,0,0,38,6,106,0,36,2,908.0
218,0,0,62,21,106,331,40,19,0,0,38,148,106,0,37,0,889.0
219,0,0,54,20,106,331,40,19,0,0,38,136,107,0,36,2,884.0
220,0,1,55,21,106,330,40,15,0,0,38,134,106,0,36,2,844.0
221,0,0,21,20,106,328,40,15,0,0,38,132,106,0,38,0,820.0
222,0,0,4,20,105,327,40,15,0,0,38,129,106,0,36,0,825.0
223,0,0,4,20,106,326,40,19,0,0,39,127,106,0,36,2,827.0
224,0,0,4,20,106,326,40,18,0,0,39,126,108,0,38,2,823.0
225,0,0,4,20,106,325,42,18,0,0,39,124,106,0,37,2,770.0
226,0,0,4,21,106,330,40,15,0,0,38,123,57,0,36,0,772.0
227,0,0,4,20,105,331,40,15,0,0,39,123,58,0,37,0,773.0
228,0,0,4,20,106,331,43,15,0,0,38,122,56,0,36,2,773.0
229,0,0,4,21,106,329,40,15,0,0,39,122,59,0,36,2,646.0
230,0,0,4,21,106,330,40,15,0,0,39,0,55,0,36,0,639.0
231,0,0,4,21,106,330,30,18,0,0,38,0,56,0,36,0,650.0
232,0,0,4,21,106,331,40,15,0,0,39,0,57,0,37,0,699.0
233,0,1,4,21,106,330,40,15,0,0,38,0,107,0,37,0,648.0
234,0,0,4,20,106,331,40,15,0,0,38,0,56,0,36,2,644.0
235,0,0,4,20,106,329,40,15,0,0,38,0,55,0,37,0,690.0
236,0,0,43,21,105,331,40,17,0,0,38,0,56,0,37,2,804.0
237,0,2,41,21,107,442,40,18,0,0,38,0,56,0,37,2,791.0
238,0,0,43,21,106,431,41,18,0,0,38,0,55,0,36,2,789.0
239,0,1,42,21,106,429,40,15,0,0,38,0,55,0,38,4,789.0
240,0,0,42,21,106,435,40,15,0,0,39,0,55,0,36,0,789.0
241,0,0,42,20,106,430,41,15,0,0,39,0,56,0,38,2,787.0
242,0,0,42,21,106,430,40,15,0,0,38,0,56,0,37,2,787.0
243,0,0,41,20,106,427,40,18,1,0,39,0,58,0,37,0,732.0
244,0,1,21,20,104,436,42,15,0,0,38,0,16,0,37,2,698.0
245,0,0,4,20,105,419,42,16,0,0,39,0,17,0,36,0,2099.0
246,0,1,4,20,115,421,41,16,0,0,38,0,17,0,1426,0,2273.0
247,0,0,4,20,114,414,47,16,0,0,39,0,17,0,1600,2,2379.0
248,0,0,4,20,113,419,42,16,0,0,38,0,17,0,1710,0,2403.0
249,0,1,4,20,113,413,41,16,0,0,38,0,16,0,1741,0,2377.0
250,0,0,4,0,113,392,32,19,0,0,38,0,16,0,1763,0,2401.0
251,0,0,4,0,114,390,41,19,1,0,39,0,17,0,1776,0,2440.0
252,0,0,4,0,115,424,40,18,0,0,38,0,17,0,1782,2,2405.0
253,0,0,4,0,114,414,40,20,0,0,38,0,18,0,1757,0,2414.0
254,0,0,4,0,114,413,40,20,0,0,39,0,24,0,1760,0,2454.0
255,0,0,38,0,113,413,40,19,0,0,39,0,23,0,1767,2,2137.0
256,0,0,40,0,114,94,39,24,0,0,39,0,20,0,1767,0,2491.0
257,0,0,42,0,113,432,40,24,0,0,38,0,21,0,1779,2,2481.0
258,0,0,42,0,113,421,39,23,0,0,38,0,21,0,1782,2,2479.0
259,0,0,41,0,114,425,39,20,0,0,38,0,21,0,1781,0,2620.0
260,0,0,41,0,113,421,41,20,0,0,38,140,21,0,1783,2,2627.0
261,0,0,42,0,114,432,40,20,0,0,38,131,17,0,1789,4,2613.0
262,0,0,42,0,113,426,40,24,0,0,38,128,17,0,1783,2,2610.0
263,0,0,42,0,113,420,43,20,0,0,38,127,18,0,1789,0,2603.0
264,0,0,42,0,113,419,39,15,0,0,38,125,17,0,1793,2,2608.0
265,0,0,42,0,113,428,40,15,0,0,38,123,17,0,1792,0,2599.0
266,0,1,42,0,113,421,30,15,0,0,38,123,17,0,1797,2,2610.0
267,0,1,42,0,113,430,39,14,0,0,38,122,16,0,1793,2,2606.0
268,0,0,42,0,112,422,40,15,0,0,38,121,17,0,1799,0,714.0
269,0,0,21,0,106,429,40,62,0,0,38,0,16,0,0,2,650.0
270,0,0,4,0,107,424,40,18,0,0,38,0,18,0,1,0,660.0
271,0,1,4,0,107,432,40,15,0,0,39,0,17,0,1,4,704.0
272,0,0,4,0,106,433,40,15,0,0,38,0,67,0,1,0,715.0
273,0,1,4,0,106,438,41,18,0,0,38,0,68,0,1,0,709.0
274,0,1,4,0,107,434,40,15,0,0,38,0,67,0,1,2,702.0
275,0,0,4,0,105,429,39,15,0,0,38,0,67,0,1,4,701.0
276,0,1,4,0,107,422,41,18,0,0,38,0,67,0,1,2,696.0
277,0,1,4,0,106,422,40,15,0,0,38,0,67,0,1,2,639.0
278,0,1,4,0,106,416,40,15,0,0,39,0,17,0,1,0,927.0
279,0,0,4,0,107,430,42,19,0,0,227,79,16,0,1,2,834.0
280,0,0,4,0,105,423,40,15,0,0,228,0,17,0,0,2,965.0
281,0,1,4,0,106,418,40,15,0,0,310,10,59,0,0,2,869.0
282,0,1,4,0,107,425,45,15,0,0,213,0,58,0,1,0,887.0
283,0,0,20,0,106,419,40,18,0,0,224,0,57,0,1,2,918.0
284,0,0,4,0,107,417,40,15,0,0,240,0,57,0,38,0,904.0
285,0,2,4,0,106,419,30,19,0,0,218,0,70,0,36,0,873.0
286,0,0,4,0,106,393,40,18,0,0,219,0,57,0,36,0,871.0
287,0,1,4,0,106,394,40,15,0,0,214,0,59,0,38,0,887.0
288,0,1,4,0,106,398,40,15,0,0,227,0,56,0,38,2,887.0
289,0,0,4,0,106,395,40,19,0,0,227,0,58,0,36,2,871.0
290,0,1,4,0,106,390,39,15,0,0,219,0,59,0,36,2,862.0
291,0,0,4,0,105,391,39,15,0,0,212,0,58,0,36,2,876.0
292,0,0,4,0,106,393,40,15,0,0,221,0,58,0,37,2,899.0
293,0,0,4,0,106,399,40,19,0,0,238,0,56,0,37,0,1072.0
294,0,0,4,0,105,389,40,15,0,0,281,143,58,0,37,0,1143.0
295,0,0,4,0,105,390,41,15,0,0,364,130,56,0,36,2,1026.0
296,0,0,4,0,106,389,40,19,0,0,249,127,56,0,36,0,1017.0
297,0,0,4,0,106,393,40,15,0,0,237,126,58,0,36,2,1075.0
298,0,0,4,0,106,391,43,15,0,0,293,129,56,0,36,2,1149.0
299,0,0,4,0,106,393,40,18,0,0,361,129,62,0,36,0,1033.0
300,0,0,4,0,106,394,40,15,0,0,250,130,57,0,37,0,1195.0
301,0,1,4,0,106,392,30,62,0,0,374,129,57,0,36,4,1186.0
302,0,0,4,0,106,393,40,61,0,0,359,129,56,0,36,2,1084.0
303,0,0,4,0,105,392,39,15,0,0,306,128,55,0,38,2,1064.0
304,0,1,4,0,106,393,39,15,0,0,280,128,56,0,38,4,891.0
305,0,0,4,0,107,393,40,19,0,0,229,7,56,0,36,0,813.0
306,0,0,4,0,106,332,40,15,0,0,213,7,57,0,37,2,2237.0
307,0,0,4,0,114,331,40,15,0,0,252,7,56,0,1418,0,2570.0
308,0,0,4,0,114,333,40,15,0,0,386,6,58,0,1614,0,2549.0
309,0,0,4,0,114,333,40,19,0,0,262,7,57,0,1713,0,2547.0
310,0,0,4,0,114,334,40,15,0,0,218,6,56,0,1760,0,2583.0
311,0,1,4,0,115,333,41,19,0,0,219,6,71,0,1774,0,2626.0
312,0,0,4,0,114,334,40,15,0,0,270,6,55,0,1786,2,2701.0
313,0,1,4,0,114,331,39,21,0,0,363,6,60,0,1760,2,2745.0
314,0,1,4,0,114,333,42,24,0,0,246,147,63,0,1771,0,2796.0
315,0,0,4,0,113,332,40,21,0,0,316,138,62,0,1768,2,2809.0
316,0,1,20,0,114,333,40,20,0,0,290,136,74,0,1781,0,2750.0
317,0,0,21,0,113,331,46,24,0,0,235,133,64,0,1781,2,2744.0
318,0,0,5,0,114,333,40,21,0,0,252,134,56,0,1789,0,2784.0
319,0,0,4,0,114,334,40,24,0,0,289,133,56,0,1790,0,2715.0
320,0,0,4,0,114,333,30,21,0,0,233,132,59,0,1789,0,2779.0
321,0,0,41,0,114,333,40,17,0,0,247,132,56,0,1797,2,2757.0
322,0,0,20,0,114,334,40,15,0,0,245,131,57,0,1797,4,2873.0
323,0,1,11,0,113,334,40,15,0,0,372,131,56,0,1800,0,2749.0
324,0,0,21,0,114,334,40,19,0,0,235,130,55,0,1801,0,2760.0
325,0,0,4,0,114,334,40,15,0,0,263,130,55,0,1803,2,2797.0
326,0,0,33,0,114,334,40,15,0,0,265,129,57,0,1810,0,2847.0
327,0,1,20,0,114,333,41,19,0,0,327,130,55,0,1807,0,2748.0
328,0,0,4,0,114,334,40,15,0,0,249,129,55,0,1806,2,910.0
329,0,0,4,0,107,335,40,19,0,0,222,127,55,0,1,0,972.0
330,0,0,4,0,106,336,42,15,0,0,288,124,55,0,0,2,948.0
331,0,0,4,0,108,334,40,18,0,0,387,0,56,0,1,0,763.0
332,0,0,4,0,107,334,40,15,0,0,207,0,55,0,1,0,786.0
333,0,0,4,0,106,334,44,15,0,0,225,0,55,0,1,2,778.0
334,0,0,4,0,107,335,40,18,0,0,213,0,56,0,1,4,770.0
335,0,1,4,0,106,335,40,15,0,0,211,0,55,0,1,2,794.0
336,0,0,5,0,107,337,30,15,0,0,241,0,56,0,1,2,774.0
337,0,0,4,0,107,337,40,19,0,0,212,0,55,0,0,0,788.0
338,0,0,4,0,107,338,40,15,0,0,226,0,57,0,1,0,778.0
339,0,1,4,0,107,337,40,19,0,0,214,0,55,0,1,0,791.0
340,0,0,4,0,108,338,40,15,0,0,228,0,55,0,1,2,765.0
341,0,0,4,0,106,335,40,18,0,0,206,0,55,0,1,0,772.0
342,0,1,4,0,107,335,40,15,0,0,211,0,56,0,1,2,779.0
343,0,0,4,0,106,334,40,15,0,0,222,0,57,0,1,0,940.0
344,0,0,4,0,107,334,40,19,0,0,338,0,57,0,39,2,752.0
345,0,0,4,0,106,334,40,15,1,0,207,0,7,0,38,0,772.0
346,0,0,4,0,106,334,41,15,0,0,226,0,8,0,38,0,782.0
347,0,0,4,0,107,333,40,18,0,0,235,0,8,0,37,0,774.0
348,0,1,21,0,106,333,40,15,0,0,212,0,8,0,38,0,762.0
349,0,1,4,0,106,333,42,18,0,0,214,0,8,0,36,0,772.0
350,0,0,4,0,106,334,40,15,0,0,225,0,8,0,38,2,770.0
351,0,1,4,0,106,334,40,18,0,0,219,0,8,0,38,2,775.0
352,0,0,4,0,106,334,46,15,0,0,223,0,8,0,37,2,761.0
353,0,1,4,0,106,334,40,15,0,0,212,0,8,0,37,4,775.0
354,0,0,4,0,106,334,40,18,0,0,224,0,8,0,37,4,765.0
355,0,0,4,0,106,334,31,15,0,0,228,0,7,0,38,2,898.0
356,0,1,4,0,106,334,40,15,0,0,212,142,8,0,36,0,894.0
357,0,0,4,0,106,335,40,19,0,0,212,131,8,0,37,2,911.0
