,BME,CDE,DWE,FGE,FRE,HPE,TVE,all_P
156,6,1,0,0,113,1786,38,1944
157,7,1,0,0,113,1783,38,1942
158,6,0,0,0,112,1790,38,1946
159,7,1,0,148,113,1790,38,2097
160,7,0,0,134,106,1,39,287
161,7,0,0,127,107,1,38,280
162,7,1,0,127,106,1,38,280
163,6,0,0,126,107,0,38,277
164,6,0,0,125,106,0,38,275
165,6,1,0,124,105,1,39,276
166,7,0,0,123,106,1,38,275
167,7,0,0,122,106,1,38,274
168,7,1,0,121,105,1,38,273
169,6,0,0,0,105,1,39,151
170,6,0,0,0,105,1,39,151
171,6,0,0,0,105,1,39,151
172,7,0,0,0,105,1,38,151
173,6,0,0,0,106,1,38,151
174,6,0,0,0,106,0,38,150
175,7,1,0,0,105,38,38,189
176,7,0,0,0,106,36,38,187
177,7,1,0,0,105,37,39,189
178,7,0,0,1,105,36,38,187
179,6,0,0,10,106,36,38,196
180,6,0,0,0,103,36,39,184
181,6,0,0,0,106,36,38,186
182,7,0,0,0,104,36,38,185
183,7,0,0,0,104,35,38,184
184,6,1,0,0,105,36,39,187
185,7,1,0,0,106,36,38,188
186,7,1,0,10,105,36,38,197
187,7,0,0,7,104,35,38,191
188,7,0,0,7,105,36,38,193
189,7,0,0,7,103,36,38,191
190,7,1,0,156,105,36,38,343
191,7,0,0,139,105,36,38,325
192,7,0,0,137,104,35,38,321
193,7,0,0,135,104,36,39,321
194,7,0,0,133,105,37,39,321
195,6,0,0,133,105,36,38,318
196,7,0,0,132,106,37,38,320
197,7,1,0,132,105,36,38,319
198,6,0,0,132,105,35,38,316
199,89,0,0,132,104,36,38,399
200,6,0,0,133,106,36,38,319
201,6,0,0,132,106,37,38,319
202,7,0,0,131,107,36,38,319
203,7,0,0,132,107,37,38,321
204,6,1,0,130,106,37,38,318
205,7,0,0,129,106,36,37,315
206,328,1,0,128,107,36,38,638
207,327,0,0,128,106,36,38,635
208,327,0,0,128,107,36,39,637
209,328,0,0,6,106,37,39,516
210,329,1,0,6,106,36,39,517
211,329,0,0,7,106,36,39,517
212,330,0,0,6,106,37,38,517
213,329,1,0,6,105,36,38,515
214,330,0,0,6,106,36,39,517
215,330,0,0,7,106,37,38,518
216,331,0,0,7,105,37,39,519
217,330,0,0,6,106,36,38,516
218,331,0,0,148,106,37,38,660
219,331,0,0,136,106,36,38,647
220,330,1,0,134,106,36,38,645
221,328,0,0,132,106,38,38,642
222,327,0,0,129,105,36,38,635
223,326,0,0,127,106,36,39,634
224,326,0,0,126,106,38,39,635
225,325,0,0,124,106,37,39,631
226,330,0,0,123,106,36,38,633
227,331,0,0,123,105,37,39,635
228,331,0,0,122,106,36,38,633
229,329,0,0,122,106,36,39,632
230,330,0,0,0,106,36,39,511
231,330,0,0,0,106,36,38,510
232,331,0,0,0,106,37,39,513
233,330,1,0,0,106,37,38,512
234,331,0,0,0,106,36,38,511
235,329,0,0,0,106,37,38,510
236,331,0,0,0,105,37,38,511
237,442,2,0,0,107,37,38,626
238,431,0,0,0,106,36,38,611
239,429,1,0,0,106,38,38,612
240,435,0,0,0,106,36,39,616
241,430,0,0,0,106,38,39,613
242,430,0,0,0,106,37,38,611
243,427,0,0,0,106,37,39,609
244,436,1,0,0,104,37,38,616
245,419,0,0,0,105,36,39,599
246,421,1,0,0,115,1426,38,2001
247,414,0,0,0,114,1600,39,2167
248,419,0,0,0,113,1710,38,2280
249,413,1,0,0,113,1741,38,2306
250,392,0,0,0,113,1763,38,2306
251,390,0,0,0,114,1776,39,2319
252,424,0,0,0,115,1782,38,2359
253,414,0,0,0,114,1757,38,2323
254,413,0,0,0,114,1760,39,2326
255,413,0,0,0,113,1767,39,2332
256,94,0,0,0,114,1767,39,2014
257,432,0,0,0,113,1779,38,2362
258,421,0,0,0,113,1782,38,2354
259,425,0,0,0,114,1781,38,2358
260,421,0,0,140,113,1783,38,2495
261,432,0,0,131,114,1789,38,2504
262,426,0,0,128,113,1783,38,2488
263,420,0,0,127,113,1789,38,2487
264,419,0,0,125,113,1793,38,2488
265,428,0,0,123,113,1792,38,2494
266,421,1,0,123,113,1797,38,2493
267,430,1,0,122,113,1793,38,2497
268,422,0,0,121,112,1799,38,2492
269,429,0,0,0,106,0,38,573
270,424,0,0,0,107,1,38,570
271,432,1,0,0,107,1,39,580
272,433,0,0,0,106,1,38,578
273,438,1,0,0,106,1,38,584
274,434,1,0,0,107,1,38,581
275,429,0,0,0,105,1,38,573
276,422,1,0,0,107,1,38,569
277,422,1,0,0,106,1,38,568
278,416,1,0,0,106,1,39,563
279,430,0,0,79,107,1,227,844
280,423,0,0,0,105,0,228,756
281,418,1,0,10,106,0,310,845
282,425,1,0,0,107,1,213,747
283,419,0,0,0,106,1,224,750
284,417,0,0,0,107,38,240,802
285,419,2,0,0,106,36,218,781
286,393,0,0,0,106,36,219,754
287,394,1,0,0,106,38,214,753
288,398,1,0,0,106,38,227,770
289,395,0,0,0,106,36,227,764
290,390,1,0,0,106,36,219,752
291,391,0,0,0,105,36,212,744
292,393,0,0,0,106,37,221,757
293,399,0,0,0,106,37,238,780
294,389,0,0,143,105,37,281,955
295,390,0,0,130,105,36,364,1025
296,389,0,0,127,106,36,249,907
297,393,0,0,126,106,36,237,898
298,391,0,0,129,106,36,293,955
299,393,0,0,129,106,36,361,1025
300,394,0,0,130,106,37,250,917
301,392,1,0,129,106,36,374,1038
302,393,0,0,129,106,36,359,1023
303,392,0,0,128,105,38,306,969
304,393,1,0,128,106,38,280,946
305,393,0,0,7,107,36,229,772
306,332,0,0,7,106,37,213,695
307,331,0,0,7,114,1418,252,2122
308,333,0,0,6,114,1614,386,2453
309,333,0,0,7,114,1713,262,2429
310,334,0,0,6,114,1760,218,2432
311,333,1,0,6,115,1774,219,2448
312,334,0,0,6,114,1786,270,2510
313,331,1,0,6,114,1760,363,2575
314,333,1,0,147,114,1771,246,2612
315,332,0,0,138,113,1768,316,2667
316,333,1,0,136,114,1781,290,2655
317,331,0,0,133,113,1781,235,2593
318,333,0,0,134,114,1789,252,2622
319,334,0,0,133,114,1790,289,2660
320,333,0,0,132,114,1789,233,2601
321,333,0,0,132,114,1797,247,2623
322,334,0,0,131,114,1797,245,2621
323,334,1,0,131,113,1800,372,2751
324,334,0,0,130,114,1801,235,2614
325,334,0,0,130,114,1803,263,2644
326,334,0,0,129,114,1810,265,2652
327,333,1,0,130,114,1807,327,2712
328,334,0,0,129,114,1806,249,2632
329,335,0,0,127,107,1,222,792
330,336,0,0,124,106,0,288,854
331,334,0,0,0,108,1,387,830
332,334,0,0,0,107,1,207,649
333,334,0,0,0,106,1,225,666
334,335,0,0,0,107,1,213,656
335,335,1,0,0,106,1,211,654
336,337,0,0,0,107,1,241,686
337,337,0,0,0,107,0,212,656
338,338,0,0,0,107,1,226,672
339,337,1,0,0,107,1,214,660
340,338,0,0,0,108,1,228,675
341,335,0,0,0,106,1,206,648
342,335,1,0,0,107,1,211,655
343,334,0,0,0,106,1,222,663
344,334,0,0,0,107,39,338,818
345,334,0,0,0,106,38,207,685
346,334,0,0,0,106,38,226,704
347,333,0,0,0,107,37,235,712
348,333,1,0,0,106,38,212,690
349,333,1,0,0,106,36,214,690
350,334,0,0,0,106,38,225,703
351,334,1,0,0,106,38,219,698
352,334,0,0,0,106,37,223,700
353,334,1,0,0,106,37,212,690
354,334,0,0,0,106,37,224,701
355,334,0,0,0,106,38,228,706
356,334,1,0,142,106,36,212,831
357,335,0,0,131,106,37,212,821
358,333,0,0,127,105,37,225,827
359,332,0,0,127,106,36,210,811
360,333,0,0,125,106,36,228,828
361,332,1,0,124,105,37,222,821
362,333,1,0,123,106,37,205,805
363,336,1,0,123,107,37,212,816
364,336,0,0,122,108,37,209,812
365,337,0,0,0,107,37,209,690
366,337,0,0,0,106,37,212,692
367,336,2,0,0,106,37,219,700
368,334,0,0,0,106,36,214,690
369,333,0,0,0,106,37,216,692
370,334,0,0,0,106,37,212,689
371,336,0,0,0,107,37,204,684
372,335,0,0,0,107,37,265,744
373,336,0,0,0,106,38,202,682
374,336,0,0,0,109,38,348,831
375,336,0,0,0,107,37,202,682
376,334,1,0,0,106,37,236,714
377,335,0,0,0,107,37,254,733
378,333,0,0,0,114,1478,206,2131
379,334,1,0,0,114,1648,255,2352
380,335,1,0,0,114,1730,242,2422
381,336,0,0,0,114,1763,337,2550
382,334,0,0,0,115,1778,396,2623
383,332,0,0,0,113,1785,391,2621
384,331,1,0,0,114,1761,233,2440
385,330,0,0,0,113,1770,248,2461
386,332,0,0,0,114,1775,281,2502
387,332,1,0,0,114,1783,211,2441
388,331,1,0,0,113,1785,236,2466
389,332,0,0,10,114,1789,276,2521
390,333,0,0,0,114,1793,364,2604
391,332,0,0,0,114,1798,306,2550
392,334,0,0,0,113,1800,263,2510
393,333,0,0,0,115,1803,373,2624
394,334,0,0,144,114,1801,332,2725
395,335,0,0,131,114,1805,218,2603
396,334,0,0,127,114,1807,245,2627
397,335,1,0,127,114,1807,212,2596
398,335,0,0,127,114,1808,237,2621
399,335,1,0,125,114,1806,235,2616
400,335,0,0,124,114,1813,215,2601
401,336,0,0,124,108,1,270,839
402,336,0,0,122,106,0,381,945
403,336,1,0,0,108,1,268,714
404,336,0,0,0,108,0,244,688
405,335,0,0,0,108,1,306,750
406,336,0,0,0,107,1,273,717
407,336,1,0,0,108,1,264,710
408,337,0,0,0,107,0,244,688
409,339,1,0,0,106,1,271,718
410,333,0,0,0,106,1,260,700
411,331,1,0,0,106,1,236,675
412,331,0,0,0,106,0,364,801
413,329,0,0,0,106,0,265,700
414,331,0,0,0,107,1,308,747
415,330,0,0,0,106,0,239,675
416,330,1,0,0,107,38,238,714
417,333,9,0,0,108,38,37,525
418,354,2,0,0,106,37,37,536
419,352,0,0,0,107,36,37,532
420,352,0,0,0,106,37,37,532
421,352,0,0,0,106,36,37,531
422,354,0,0,0,107,37,37,535
423,354,1,0,0,107,38,37,537
424,354,1,0,0,106,37,37,535
425,352,0,0,0,106,36,37,531
426,459,0,0,0,108,36,37,640
427,454,0,0,0,106,37,37,634
428,445,0,0,0,105,37,38,625
429,440,0,0,0,106,37,38,621
430,444,0,0,0,106,36,38,624
431,444,0,0,0,106,36,38,624
432,451,0,0,0,106,36,37,630
433,443,0,0,0,106,37,38,624
434,456,0,0,0,115,1429,38,2038
435,447,0,0,143,114,1630,38,2372
436,455,0,0,130,114,1719,37,2455
437,454,0,0,127,114,1753,37,2485
438,447,0,0,127,113,1773,38,2498
439,440,0,0,125,114,1757,37,2473
440,452,0,0,124,113,1761,38,2488
441,443,0,0,123,113,1771,38,2488
442,446,0,0,122,114,1776,37,2495
443,453,0,0,122,113,1783,38,2509
444,456,0,0,0,114,1792,37,2399
445,459,0,0,0,114,1790,37,2400
446,444,0,0,0,115,1795,38,2392
447,449,1,0,0,115,1799,38,2402
448,447,0,0,0,114,1798,38,2397
449,451,0,0,10,114,1802,38,2415
450,454,0,0,9,114,1808,38,2423
451,445,0,0,0,114,1807,38,2404
452,444,0,0,0,113,1807,38,2402
453,445,1,0,0,114,1809,37,2406
454,455,0,0,0,114,1811,38,2418
455,454,1,0,0,114,1816,37,2422
456,456,0,0,0,114,1815,37,2422
457,452,1,0,0,114,1815,38,2420
458,452,0,0,0,106,0,38,596
459,444,1,0,0,108,1,39,593
460,438,1,0,0,106,1,37,583
461,451,0,0,0,106,1,38,596
462,451,0,0,0,107,0,38,596
463,452,1,0,10,107,0,37,607
464,457,0,0,6,108,1,37,609
465,456,1,0,7,106,1,37,608
466,459,1,0,6,106,1,38,611
467,455,0,0,6,106,1,38,606
468,454,0,0,148,106,1,38,747
469,456,0,0,137,106,1,38,738
470,455,0,0,135,106,1,38,735
471,452,1,0,134,106,1,38,732
472,460,1,0,133,106,1,38,739
473,49,1,0,133,107,1,38,329
474,27,0,0,132,106,41,38,344
475,27,0,0,132,106,39,38,342
476,27,0,0,132,106,38,38,341
477,27,0,0,131,106,38,38,340
478,27,0,0,130,106,37,38,338
479,27,0,0,130,107,38,37,339
480,27,0,0,130,106,37,38,338
481,7,0,0,130,106,38,37,318
482,7,0,0,129,106,37,37,316
483,7,2,0,129,107,38,37,320
484,7,0,0,7,106,38,38,196
485,7,0,0,7,107,38,39,198
486,7,0,0,7,106,38,38,196
487,7,0,0,7,107,37,39,197
488,7,0,0,7,106,37,38,195
489,7,1,0,7,107,37,38,197
490,7,0,0,7,106,38,38,196
491,7,0,0,7,106,38,38,196
492,7,1,0,10,114,2813,37,2982
493,7,1,0,148,114,1557,38,1865
494,6,0,0,135,115,1696,38,1990
495,6,0,0,131,114,1754,38,2043
496,6,0,0,129,115,1775,38,2063
497,7,0,0,130,113,1753,37,2040
498,7,0,0,128,115,1763,39,2052
499,7,0,0,127,115,1777,37,2063
500,7,0,0,124,113,1784,38,2066
501,7,0,0,123,114,1786,38,2068
502,7,0,0,122,114,1790,38,2071
503,7,0,0,1,113,1798,38,1957
504,6,1,0,0,114,1798,38,1957
505,7,1,0,0,113,1802,38,1961
506,7,1,0,0,113,1807,38,1966
507,6,0,0,0,113,1810,37,1966
508,6,2,0,0,114,1811,38,1971
509,7,0,0,1,114,1813,38,1973
510,7,0,0,0,115,1814,38,1974
511,7,0,0,0,114,1818,37,1976
512,6,0,0,0,114,1817,38,1975
513,7,0,0,0,114,1821,37,1979
514,7,0,0,0,114,1822,37,1980
515,7,0,0,1,114,1824,37,1983
516,7,2,0,0,114,1822,38,1983
517,7,0,0,0,114,1821,39,1981
518,6,0,0,0,107,1,38,152
519,6,1,0,0,107,1,37,152
520,7,0,0,0,106,1,38,152
521,7,1,0,0,106,1,39,154
522,7,0,0,0,107,1,38,153
523,7,1,0,0,106,1,37,152
524,7,1,0,0,106,1,38,153
525,7,0,0,1,107,1,39,155
526,7,1,0,0,107,1,38,154
527,7,0,0,0,106,0,38,151
528,7,0,0,0,106,1,39,153
529,7,0,0,0,107,1,39,154
530,7,1,0,0,107,1,38,154
531,6,0,0,0,106,1,38,151
532,6,0,0,0,106,1,38,151
533,7,0,0,0,108,1,37,153
534,7,0,0,148,106,1,37,299
535,7,0,0,138,106,1,38,290
536,7,1,0,128,106,41,37,320
537,7,0,0,127,105,38,38,315
538,7,0,0,126,106,37,38,314
539,7,0,0,127,106,38,38,316
540,7,0,0,125,106,38,38,314
541,7,0,0,124,106,38,38,313
542,7,0,0,123,106,38,37,311
543,7,0,0,0,106,37,37,187
544,6,0,0,1,106,38,38,189
545,6,0,0,0,107,37,38,188
546,7,0,0,0,107,38,38,190
547,7,1,0,1,106,38,38,191
548,7,0,0,0,106,37,38,188
549,7,0,0,0,106,37,38,188
550,7,0,0,0,106,38,38,189
551,6,0,0,0,106,37,37,186
552,7,0,0,10,114,1544,38,1713
553,7,0,0,7,115,1698,38,1865
554,7,0,0,0,115,1759,37,1918
555,7,0,0,0,115,1781,38,1941
556,7,1,0,0,114,1790,38,1950
557,7,1,0,0,114,1800,37,1959
558,7,0,0,0,114,1777,38,1936
559,7,1,0,0,115,1787,38,1948
560,7,0,0,0,114,1791,39,1951
561,7,0,0,0,115,1795,38,1955
562,7,0,0,0,114,1801,38,1960
563,6,0,0,1,114,1802,38,1961
564,7,0,0,0,114,1806,38,1965
565,7,0,0,0,114,1810,37,1968
566,7,0,0,0,113,1813,39,1972
567,7,0,0,0,114,1811,37,1969
568,7,0,0,0,114,1815,38,1974
569,6,0,0,0,115,1816,38,1975
570,7,1,0,0,114,1818,38,1978
571,7,0,0,144,114,1816,38,2119
572,7,0,0,131,114,1824,38,2114
573,7,0,0,128,115,1823,37,2110
574,7,0,0,127,113,1821,38,2106
575,7,0,0,126,114,1824,38,2109
576,7,0,0,125,114,1824,38,2108
577,7,0,0,125,114,1826,38,2110
578,6,0,0,123,115,1830,38,2112
579,7,0,0,122,108,1,37,275
580,6,1,0,0,106,1,37,151
581,7,0,0,0,108,1,38,154
582,7,1,0,1,107,1,38,155
583,7,0,0,0,107,1,38,153
584,6,0,0,0,107,1,38,152
585,6,1,0,0,107,1,37,152
586,7,1,0,0,107,1,38,154
587,7,1,0,0,106,1,38,153
588,7,1,0,1,106,1,37,153
589,7,0,0,0,106,1,38,152
590,7,0,0,0,106,1,38,152
591,7,0,0,0,106,1,38,152
592,7,0,0,0,106,1,37,151
593,7,0,0,0,107,1,37,152
594,7,0,0,0,106,1,38,152
595,7,0,0,0,107,1,38,153
596,7,0,0,0,107,1,38,153
597,7,0,0,0,107,41,37,192
598,7,1,0,0,107,39,38,192
599,7,0,0,0,106,39,38,190
600,7,1,0,0,105,39,37,189
601,6,0,0,1,106,38,38,189
602,6,1,0,0,106,38,37,188
603,6,0,0,0,105,37,37,185
604,7,0,0,0,106,38,37,188
605,7,0,0,0,106,37,37,187
606,7,0,0,0,106,38,38,189
607,7,1,0,0,106,38,38,190
608,7,1,0,0,106,38,39,191
609,7,2,0,0,114,1048,39,1210
610,7,0,0,0,115,1588,38,1748
611,7,0,0,0,115,1715,38,1875
612,7,0,0,0,115,1763,37,1922
613,7,1,0,144,115,1784,38,2089
614,7,1,0,132,114,1799,37,2090
615,7,0,0,128,114,1773,38,2060
616,7,0,0,128,115,1789,39,2078
617,7,0,0,127,114,1791,38,2077
618,7,0,0,127,114,1799,37,2084
619,7,0,0,125,115,1800,38,2085
620,7,1,0,124,114,1805,38,2089
621,7,0,0,123,114,1808,39,2091
622,7,0,0,0,115,1810,37,1969
623,7,0,0,0,115,1813,38,1973
624,7,0,0,0,114,1816,37,1974
625,7,0,0,0,114,1816,38,1975
626,6,0,0,0,115,1817,38,1976
627,7,0,0,0,115,1821,38,1981
628,6,0,0,1,114,1819,38,1978
629,7,1,0,0,114,1824,37,1983
630,7,1,0,0,114,1824,38,1984
631,7,0,0,1,114,1825,38,1985
632,7,1,0,0,114,1825,38,1985
633,7,0,0,0,113,1827,37,1984
634,7,0,0,0,114,1826,37,1984
635,7,0,0,10,114,1829,38,1998
636,7,0,0,7,107,1,38,160
637,7,0,0,7,108,1,37,160
638,7,1,0,7,106,1,38,160
639,7,0,0,7,106,1,37,158
640,7,0,0,7,107,1,37,159
641,7,1,0,7,107,1,37,160
642,7,2,0,7,108,1,38,163
643,7,0,0,151,107,1,38,304
644,7,1,0,142,107,0,38,295
645,7,1,0,137,106,0,38,289
646,7,1,0,136,106,0,38,288
647,7,1,0,135,106,1,38,288
648,6,0,0,134,107,1,38,286
649,7,0,0,133,107,1,38,286
650,7,0,0,133,106,1,37,284
651,7,0,0,134,106,1,37,285
652,6,0,0,133,106,1,38,284
653,6,0,0,131,107,41,38,323
654,7,0,0,131,106,39,37,320
655,7,0,0,130,106,39,38,320
656,7,0,0,131,106,38,38,320
657,7,0,0,129,104,38,37,315
658,7,1,0,130,106,37,38,319
659,6,0,0,129,106,37,38,316
660,7,0,0,7,106,38,38,196
661,7,1,0,7,104,37,38,194
662,7,0,0,7,105,36,38,193
663,7,0,0,7,106,37,38,195
664,7,1,0,7,106,38,38,197
665,7,0,0,0,107,37,38,189
666,7,0,0,0,105,38,38,188
667,6,0,0,0,105,38,37,186
668,7,1,0,0,106,38,38,190
669,7,0,0,0,105,38,38,188
670,6,0,0,1,105,38,38,188
671,7,0,0,148,107,37,37,336
672,7,0,0,133,106,38,38,322
673,7,1,0,130,105,37,37,317
674,7,0,0,128,103,37,37,312
675,7,0,0,126,104,36,37,310
676,7,0,0,125,115,1500,38,1785
677,7,0,0,124,115,1670,37,1953
678,7,1,0,123,114,1744,37,2026
679,6,0,0,122,114,1770,38,2050
680,7,0,0,0,114,1741,38,1900
681,7,0,0,0,114,1762,38,1921
682,7,1,0,0,116,1759,37,1920
683,7,0,0,0,114,1771,38,1930
684,7,0,0,0,115,1776,37,1935
685,7,1,0,0,115,1782,37,1942
686,7,1,0,0,114,1791,38,1951
687,6,0,0,1,115,1790,38,1950
688,7,0,0,0,115,1786,38,1946
689,7,0,0,0,114,1795,37,1953
690,7,1,0,0,115,1795,38,1956
691,6,0,0,0,114,1795,38,1953
692,7,0,0,0,114,1801,38,1960
693,7,1,0,0,115,1802,38,1963
694,7,1,0,0,114,1801,38,1961
695,7,0,0,1,114,1798,38,1958
696,7,0,0,0,115,1802,38,1962
697,7,0,0,0,115,1800,38,1960
698,7,0,0,0,114,1799,37,1957
699,7,0,0,0,114,1802,38,1961
700,6,1,0,1,115,1803,38,1964
701,7,0,0,0,114,1805,37,1963
702,7,0,0,0,114,1805,37,1963
703,7,1,0,0,114,1806,38,1966
704,7,1,0,0,115,1802,38,1963
705,7,0,0,0,114,1806,38,1965
706,7,0,0,0,114,1803,38,1962
707,6,0,0,0,114,1806,37,1963
708,7,0,0,0,107,0,38,152
709,7,0,0,0,107,1,38,153
710,7,0,0,0,106,0,38,151
711,7,0,0,0,106,1,38,152
712,7,0,0,145,106,1,37,296
713,6,0,0,133,106,0,37,282
714,7,0,0,128,106,1,38,280
715,7,1,0,126,106,1,37,278
716,6,0,0,126,106,1,37,276
717,7,0,0,126,106,1,38,278
718,7,1,0,124,105,1,37,275
719,7,1,0,123,105,1,37,274
720,7,0,0,123,106,1,39,276
721,6,1,0,0,104,42,38,191
722,7,0,0,0,104,38,37,186
723,7,0,0,0,104,37,38,186
724,7,0,0,7,104,38,38,194
725,7,0,0,1,106,37,38,189
726,7,2,0,0,105,38,38,190
727,7,0,0,0,105,38,37,187
728,7,0,0,0,105,36,38,186
729,6,1,0,0,106,37,37,187
730,6,1,0,1,104,38,38,188
731,7,0,0,0,104,37,38,186
732,6,0,0,0,105,36,39,186
733,7,0,0,0,104,37,38,186
734,7,1,0,0,104,38,38,188
735,7,1,0,0,105,36,38,187
736,6,0,0,0,103,38,38,185
737,6,0,0,0,103,38,37,184
738,7,0,0,0,104,37,38,186
739,7,0,0,0,104,37,37,185
740,7,0,0,0,104,37,38,186
741,6,0,0,0,104,38,38,186
742,7,0,0,0,105,37,37,186
